FISCAL_YEAR,ATS SYSTEM CODE,LOCATION_CODE,LOCATION_NAME,BEDS NUMBER,MANAGED_BY_NAME,LOCATION_TYPE_DESCRIPTION,LOCATION_CATEGORY_DESCRIPTION,GRADES_TEXT,GRADES_FINAL_TEXT,OPEN_DATE,STATUS_DESCRIPTIONS,PRIMARY_BUILDING_CODE,PRIMARY_ADDRESS_LINE_1,STATE_CODE,X_COORDINATE,Y_COORDINATE,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,BOROUGH_BLOCK_LOT,NTA,NTA_NAME,PRINCIPAL_NAME,PRINCIPAL_TITLE,PRINCIPAL_PHONE_NUMBER,FAX_NUMBER,GEOGRAPHICAL_DISTRICT_CODE,ADMIN_DISTRICT_LOCATION_CODE,ADMINISTRATIVE_DISTRICT_NAME,COMMUNITY_SCHOOL_SUP_NAME,FIELD_SUPPORT_CENTER_NAME,FIELD_SUPPORT_CENTER_LEADER_NAME,SCHOOL_SUPPORT_TEAM_NAME,SCHOOL_SUPPORT_TEAM_LEADER_NAME,HIGHSCHOOL_NETWORK_LOCATION_CODE,HIGHSCHOOL_NETWORK_NAME,HIGHSCHOOL_NETWORK_SUPERINTENDENT,Location 1
2013,01M142      ,M142,P.S. 142 Amalia Castro,310100010142,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1976 12:00:00 AM,Open,M142,100 ATTORNEY STREET,NY,988653,200908,103,1,1402,1003430001,MN28,Lower East Side                                                            ,RHONDA LEVY,PRINCIPAL,212-598-3800,212-598-3810,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"100 ATTORNEY STREET
MANHATTAN, NY 10002
(40.718121, -73.984116)"
2013,01M184      ,M184,P.S. 184m Shuang Wen,310100010184,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",06/22/1999 12:00:00 AM,Open,M137,327 CHERRY STREET,NY,988287,198359,103,1,201,1002450007,MN28,Lower East Side                                                            ,"Iris Chiu, I.A.",I.A. PRINCIPAL,212-602-9700,212-602-9710,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"327 CHERRY STREET
MANHATTAN, NY 10002
(40.711125, -73.985438)"
2013,01M188      ,M188,P.S. 188 The Island School,310100010188,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",07/01/1904 12:00:00 AM,Open,M188,442 EAST HOUSTON STREET,NY,990520,201552,103,2,2000,1003560100,MN28,Lower East Side                                                            ,MARY PREE,PRINCIPAL,212-677-5710,212-228-3007,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"442 EAST HOUSTON STREET
MANHATTAN, NY 10002
(40.719888, -73.97738)"
2013,01M292      ,M292,Henry Street School for International Studies,310100011292,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",09/08/2004 12:00:00 AM,Open,M056,220 HENRY STREET,NY,988117,199174,103,1,201,1002690041,MN28,Lower East Side                                                            ,CHRISTINE LOUGHLIN,PRINCIPAL,212-406-9411,212-406-9417,1,NULL,COMMUNITY SCHOOL DISTRICT 01,NULL,NULL,NULL,NULL,NULL,HS03,HS Network 03,"LODICO, ANTHONY","220 HENRY STREET
MANHATTAN, NY 10002
(40.713362, -73.986051)"
2013,01M301      ,M301,"Technology, Arts, and Sciences Studio",310100010301,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/2005 12:00:00 AM,Open,M019,185 1 AVENUE,NY,988547,205239,103,2,4000,1004530034,MN22,East Village                                                               ,GEORGE MORGAN,PRINCIPAL,212-982-1836,212-982-0528,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"185 1 AVENUE
MANHATTAN, NY 10003
(40.730009, -73.984496)"
2013,01M315      ,M315,The East Village Community School,310100010315,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1999 12:00:00 AM,Open,M061,610 EAST  12 STREET,NY,990277,204339,103,2,2800,1003940012,MN28,Lower East Side                                                            ,ROBIN WILLIAMS,PRINCIPAL,212-982-0682,212-260-4012,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"610 EAST 12 STREET
MANHATTAN, NY 10009
(40.727537, -73.978254)"
2013,01M332      ,M332,University Neighborhood Middle School,310100010332,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",09/13/2004 12:00:00 AM,Open,M056,220 HENRY STREET,NY,988117,199174,103,1,201,1002690041,MN28,Lower East Side                                                            ,Laura Peynado,PRINCIPAL,212-267-5701,212-349-8224,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"220 HENRY STREET
MANHATTAN, NY 10002
(40.713362, -73.986051)"
2013,01M345      ,M345,"Collaborative Academy of Science, Technology, & La",310100010345,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/2006 12:00:00 AM,Open,M056,220 HENRY STREET,NY,988117,199174,103,1,201,1002690041,MN28,Lower East Side                                                            ,JUDITH DE LOS SANTOS,PRINCIPAL,212-227-0762,212-577-9785,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"220 HENRY STREET
MANHATTAN, NY 10002
(40.713362, -73.986051)"
2013,01M361      ,M361,The Children's Workshop School,310100010361,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1999 12:00:00 AM,Open,M061,610 EAST  12 STREET,NY,990277,204339,103,2,2800,1003940012,MN28,Lower East Side                                                            ,MARIA VELEZ CLARKE,PRINCIPAL,212-614-9531,212-614-9462,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"610 EAST 12 STREET
MANHATTAN, NY 10009
(40.727537, -73.978254)"
2013,01M363      ,M363,Neighborhood School,310100010363,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1999 12:00:00 AM,Open,M063,121 EAST  3 STREET,NY,988071,203210,103,2,3200,1004310014,MN22,East Village                                                               ,MILO NOVELO,PRINCIPAL,212-387-0195,212-387-0198,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"121 EAST 3 STREET
MANHATTAN, NY 10009
(40.72444, -73.986214)"
2013,01M364      ,M364,Earth School,310100010364,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1999 12:00:00 AM,Open,M064,600 EAST  6 STREET,NY,989351,202733,103,2,2601,1003870001,MN28,Lower East Side                                                            ,ALISON GAIL HAZUT,PRINCIPAL,212-477-1735,212-477-2396,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"600 EAST 6 STREET
MANHATTAN, NY 10009
(40.72313, -73.981597)"
2013,01M378      ,M378,School for Global Leaders,310100010378,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/2008 12:00:00 AM,Open,M025,145 STANTON STREET,NY,988120,201607,103,1,3001,1003540080,MN27,Chinatown                                                                  ,CARRY CHAN,PRINCIPAL,212-260-5375,212-260-7386,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"145 STANTON STREET
MANHATTAN, NY 10002
(40.72004, -73.986038)"
2013,01M448      ,M448,University Neighborhood High School,310100011448,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",06/04/1999 12:00:00 AM,Open,M446,200 MONROE STREET,NY,988650,198776,103,1,202,1002590044,MN28,Lower East Side                                                            ,Elizabeth Collins,PRINCIPAL,212-962-4341,212-267-5611,1,NULL,COMMUNITY SCHOOL DISTRICT 01,NULL,NULL,NULL,NULL,NULL,HS03,HS Network 03,"LODICO, ANTHONY","200 MONROE STREET
MANHATTAN, NY 10002
(40.712269, -73.984128)"
2013,01M450      ,M450,East Side Community School,310100011450,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",06/05/1996 12:00:00 AM,Open,M060,420 EAST 12 STREET,NY,989108,204927,103,2,3400,1004390017,MN22,East Village                                                               ,MARK FEDERMAN,PRINCIPAL,212-460-8467,212-260-9657,1,NULL,COMMUNITY SCHOOL DISTRICT 01,NULL,NULL,NULL,NULL,NULL,HS03,HS Network 03,"LODICO, ANTHONY","420 EAST 12 STREET
MANHATTAN, NY 10009
(40.729152, -73.982472)"
2013,01M458      ,M458,Forsyth Satellite Academy,310100011458,DOE,Transfer School,High school,"09,10,11,12,SE","09,10,11,12",07/01/2010 12:00:00 AM,Open,M510,198 FORSYTH STREET,NY,986892,202472,103,1,3601,1004220072,MN27,Chinatown                                                                  ,Ingrid Roberts Haynes,PRINCIPAL,212-677-8900,212-260-3063,1,NULL,COMMUNITY SCHOOL DISTRICT 01,NULL,NULL,NULL,NULL,NULL,HS03,HS Network 03,"LODICO, ANTHONY","198 FORSYTH STREET
MANHATTAN, NY 10002
(40.722415, -73.990468)"
2013,01M509      ,M509,Marta Valle High School,310100011509,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",06/05/1996 12:00:00 AM,Open,M025,145 STANTON STREET,NY,988120,201607,103,1,3001,1003540080,MN27,Chinatown                                                                  ,Mimi Fortunato,PRINCIPAL,212-473-8152,212-475-7588,1,NULL,COMMUNITY SCHOOL DISTRICT 01,NULL,NULL,NULL,NULL,NULL,HS03,HS Network 03,"LODICO, ANTHONY","145 STANTON STREET
MANHATTAN, NY 10002
(40.72004, -73.986038)"
2013,01M515      ,M515,Lower East Side Preparatory High School,310100011515,DOE,Transfer School,High school,"10,11,12","09,10,11,12",06/05/1996 12:00:00 AM,Open,M025,145 STANTON STREET,NY,988120,201607,103,1,3001,1003540080,MN27,Chinatown                                                                  ,MARTHA POLIN,PRINCIPAL,212-505-6366,212-260-0813,1,NULL,COMMUNITY SCHOOL DISTRICT 01,NULL,NULL,NULL,NULL,NULL,HS03,HS Network 03,"LODICO, ANTHONY","145 STANTON STREET
MANHATTAN, NY 10002
(40.72004, -73.986038)"
2013,01M539      ,M539,"New Explorations into Science, Technology and Math",310100011539,DOE,General Academic,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12","0K,01,02,03,04,05,06,07,08,09,10,11,12",07/01/2000 12:00:00 AM,Open,M022,111 COLUMBIA STREET,NY,989910,201380,103,2,2201,1003350001,MN28,Lower East Side                                                            ,Dr. Olga Livanis,PRINCIPAL,212-677-5190,212-260-8124,1,NULL,COMMUNITY SCHOOL DISTRICT 01,NULL,NULL,NULL,NULL,NULL,HS03,HS Network 03,"LODICO, ANTHONY","111 COLUMBIA STREET
MANHATTAN, NY 10002
(40.719416, -73.979581)"
2013,01M650      ,M650,Cascades High School,310100011650,DOE,Transfer School,High school,"09,10,11,12","09,10,11,12",01/05/1998 12:00:00 AM,Open,M510,198 FORSYTH STREET,NY,986892,202472,103,1,3601,1004220072,MN27,Chinatown                                                                  ,PAUL ROTONDO,PRINCIPAL,646-654-1261,646-654-1742,1,NULL,COMMUNITY SCHOOL DISTRICT 01,NULL,NULL,NULL,NULL,NULL,HS03,HS Network 03,"LODICO, ANTHONY","198 FORSYTH STREET
MANHATTAN, NY 10002
(40.722415, -73.990468)"
2013,01M696      ,M696,Bard High School Early College,310100011696,DOE,General Academic,High school,"09,10,11,12","09,10,11,12",07/01/2001 12:00:00 AM,Open,M097,525 EAST HOUSTON STREET,NY,990877,200965,103,2,1002,1003250025,MN28,Lower East Side                                                            ,Michael Lerner,PRINCIPAL,212-995-8479,212-777-4702,1,NULL,COMMUNITY SCHOOL DISTRICT 01,NULL,NULL,NULL,NULL,NULL,HS03,HS Network 03,"LODICO, ANTHONY","525 EAST HOUSTON STREET
MANHATTAN, NY 10002
(40.718276, -73.976093)"
2013,01M839      ,M839,Tompkins Square Middle School,310100010839,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",07/01/2001 12:00:00 AM,Open,M064,600 EAST  6 STREET,NY,989351,202733,103,2,2601,1003870001,MN28,Lower East Side                                                            ,SONHANDO ESTWICK,PRINCIPAL,212-995-1430,212-979-1341,1,NULL,COMMUNITY SCHOOL DISTRICT 01,"PHILLIPS, DANIELLA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"600 EAST 6 STREET
MANHATTAN, NY 10009
(40.72313, -73.981597)"
2013,02M001      ,M001,P.S. 001 Alfred E. Smith,310200010001,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1898 12:00:00 AM,Open,M001,8 HENRY STREET,NY,984949,198878,103,1,2700,1002790040,MN27,Chinatown                                                                  ,AMY HOM,PRINCIPAL,212-267-4133,212-267-4469,2,NULL,COMMUNITY SCHOOL DISTRICT 02,"GUZMAN, MARIANO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8 HENRY STREET
MANHATTAN, NY 10038
(40.71255, -73.997478)"
2013,02M002      ,M002,P.S. 002 Meyer London,310200010002,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1958 12:00:00 AM,Open,M002,122 HENRY STREET,NY,986600,199008,103,1,600,1002730001,MN28,Lower East Side                                                            ,Bessie Ng,I.A. PRINCIPAL,212-964-0350,212-608-4080,2,NULL,COMMUNITY SCHOOL DISTRICT 02,"GUZMAN, MARIANO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"122 HENRY STREET
MANHATTAN, NY 10002
(40.712907, -73.991523)"
2013,02M003      ,M003,P.S. 003 Charrette School,310200010003,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1905 12:00:00 AM,Open,M003,490 HUDSON STREET,NY,982601,206184,102,3,7300,1005850041,MN23,West Village                                                               ,LISA SIEGMAN,PRINCIPAL,212-691-1183,212-675-5306,2,NULL,COMMUNITY SCHOOL DISTRICT 02,"GUZMAN, MARIANO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"490 HUDSON STREET
MANHATTAN, NY 10014
(40.732603, -74.005949)"
2013,02M006      ,M006,P.S. 006 Lillie D. Blake,310200010006,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",07/01/1953 12:00:00 AM,Open,M006,45 EAST  81 STREET,NY,995210,222630,108,4,14200,1014930021,MN40,Upper East Side-Carnegie Hill                                              ,LAUREN FONTANA,PRINCIPAL,212-737-9774,212-772-8669,2,NULL,COMMUNITY SCHOOL DISTRICT 02,"GUZMAN, MARIANO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"45 EAST 81 STREET
MANHATTAN, NY 10028
(40.777737, -73.960427)"
2013,02M011      ,M011,P.S. 011 William T. Harris,310200010011,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1925 12:00:00 AM,Open,M011,320 WEST  21 STREET,NY,984044,210404,104,3,8900,1007440024,MN13,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,ROBERT BENDER,PRINCIPAL,212-929-1743,212-989-7816,2,NULL,COMMUNITY SCHOOL DISTRICT 02,"GUZMAN, MARIANO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"320 WEST 21 STREET
MANHATTAN, NY 10011
(40.744186, -74.000743)"
2013,02M033      ,M033,P.S. 033 Chelsea Prep,310200010033,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1951 12:00:00 AM,Open,M033,281 9 AVENUE,NY,984184,212163,104,3,9700,1007240023,MN13,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,LINORE LINDY,PRINCIPAL,212-244-6426,212-629-6893,2,NULL,COMMUNITY SCHOOL DISTRICT 02,"GUZMAN, MARIANO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"281 9 AVENUE
MANHATTAN, NY 10001
(40.749014, -74.000238)"
2013,02M040      ,M040,P.S. 040 Augustus Saint-Gaudens,310200010040,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1899 12:00:00 AM,Open,M040,319 EAST 19 STREET,NY,989367,207177,106,2,6400,1009250012,MN21,Gramercy                                                                   ,SUSAN FELDER,PRINCIPAL,212-475-5500,212-533-5388,2,NULL,COMMUNITY SCHOOL DISTRICT 02,"GUZMAN, MARIANO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"319 EAST 19 STREET
MANHATTAN, NY 10003
(40.735328, -73.981536)"
2013,02M041      ,M041,P.S. 041 Greenwich Village,310200010041,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1958 12:00:00 AM,Open,M041,116 WEST  11 STREET,NY,984501,207221,102,3,7100,1006060049,MN23,West Village                                                               ,KELLY SHANNON,PRINCIPAL,212-675-2756,212-924-0910,2,NULL,COMMUNITY SCHOOL DISTRICT 02,"GUZMAN, MARIANO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"116 WEST 11 STREET
MANHATTAN, NY 10011
(40.73545, -73.999094)"
2013,02M042      ,M042,P.S. 042 Benjamin Altman,310200010042,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",07/01/1899 12:00:00 AM,Open,M042,71 HESTER STREET,NY,986793,200181,103,1,1600,1003090001,MN27,Chinatown                                                                  ,Rosa Casiello O'Day,PRINCIPAL,212-226-8410,212-431-7384,2,NULL,COMMUNITY SCHOOL DISTRICT 02,"GUZMAN, MARIANO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"71 HESTER STREET
MANHATTAN, NY 10002
(40.716126, -73.990826)"
2013,02M047      ,M047,47 The American Sign Language and English Secondar,310200010047,DOE,Special Education,Secondary School,"09,10,11,12,SE","09,10,11,12,SE",07/01/1908 12:00:00 AM,Open,M047,223 EAST 23 STREET,NY,989424,208287,106,2,6400,1009040024,MN21,Gramercy                                                                   ,Watfa A. Shama,PRINCIPAL,917-326-6668,917-326-6688,2,NULL,COMMUNITY SCHOOL DISTRICT 02,NULL,NULL,NULL,NULL,NULL,HS07,HS Network 07,"BRADBURY, MARISOL","223 EAST 23 STREET
MANHATTAN, NY 10010
(40.738374, -73.981329)"
2013,02M051      ,M051,P.S. 051 Elias Howe,310200010051,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",07/01/1905 12:00:00 AM,Open,M816,323 EAST 91 STREET,NY,998691,223694,108,5,15400,1015540015,MN32,Yorkville                                                                  ,NANCY SING BOCK,PRINCIPAL,212-534-1627,212-534-1702,2,NULL,COMMUNITY SCHOOL DISTRICT 02,"GUZMAN, MARIANO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"323 EAST 91 STREET
MANHATTAN, NY 10128
(40.780652, -73.947856)"
2013,02M059      ,M059,P.S. 059 Beekman Hill International,310200010059,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",07/01/1960 12:00:00 AM,Open,M488,231-249 EAST 56 STREET,NY,993533,215912,106,4,10800,1013300013,MN19,Turtle Bay-East Midtown                                                    ,ADELE SCHROETER,PRINCIPAL,212-888-7870,212-888-7872,2,NULL,COMMUNITY SCHOOL DISTRICT 02,"GUZMAN, MARIANO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"231-249 EAST 56 STREET
MANHATTAN, NY 10019
(40.759248, -73.967204)"
